ISBN,Title,Author,Stock
10000,C Programming,Brian Kernighan,10
10001,Art of Comp Prog,Donald Knuth,81
10002,Intro to Algorithms,Thomas Cormen,69
10003,Clean Code,Robert Martin,21
10004,Design Patterns,Erich Gamma,62
10005,Effective Java,Joshua Bloch,56
10006,Pragmatic Programmer,Andrew Hunt,35
10007,Building Microservices,Sam Newman,60
10008,OS Concepts,Abraham Silberschatz,90
10009,Learning Python,Mark Lutz,86
10010,Head First Java,Kathy Sierra,27
10011,Computer Networks,Andrew Tanenbaum,15
10012,Database Concepts,Abraham Silberschatz,95
10013,Domain Driven Design,Eric Evans,42
10014,Mythical Man Month,Fred Brooks,61
10015,Data Science,Joel Grus,13
10016,Algorithms,Robert Sedgewick,49
10017,Python Crash Course,Eric Matthes,75
10018,Core Java,Cay Horstmann,20
10019,Learning Node,Shelley Powers,79
10020,Fluent Python,Luciano Ramalho,16
10021,Rust Programming,Jim Blandy,11
10022,Go Programming,Alan Donovan,57
10023,Spring in Action,Craig Walls,33
10024,Learning Go,Jon Bodner,95
10025,Designing Data Apps,Martin Kleppmann,30
10026,Effective C Plus,Scott Meyers,74
10027,Eloquent JavaScript,Marijn Haverbeke,31
10028,Clean Coder,Robert Martin,49
10029,Refactoring,Martin Fowler,38
10030,Clean Architecture,Robert Martin,75
10031,Docker Up,Karl Matthias,85
10032,Kubernetes Up,Brendan Burns,42
10033,Code Complete,Steve McConnell,36
10034,Site Reliability,Betsy Beyer,78
10035,Cloud Native Java,Josh Long,79
10036,Flask Web Dev,Miguel Grinberg,22
10037,Deep Learning,Ian Goodfellow,32
10038,Machine Learning,Aurelien Geron,64
10039,Grokking Algorithms,Aditya Bhargava,9
10040,Linux Command Line,William Shotts,66
10041,Pro Git,Scott Chacon,71
10042,UNIX Network Prog,Richard Stevens,9
10043,Programming Pearls,Jon Bentley,99
10044,Black Hat Python,Justin Seitz,22
10045,Pattern Recognition,Christopher Bishop,22
10046,Artificial Intelligence,Stuart Russell,47
10047,The Prince,Niccolo Machiavelli,32
10048,Pride and Prejudice,Jane Austen,70
10049,Animal Farm,George Orwell,93
10050,Great Gatsby,F Scott Fitzgerald,36
10051,Harry Potter One,JK Rowling,48
10052,Game of Thrones,George RR Martin,24
